link,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23]
15807,4418,2,524288,10020,,,,,,,,,,,,,,,,,,,,,,,
15974,10020,2,524288,10023,,,,,,,,,,,,,,,,,,,,,,,
15047,4362,1,131072,4408,4407,,,,,,,,,,,,,,,,,,,,,,
16363,4407,2,8192,10033,,,,,,,,,,,,,,,,,,,,,,,
11755,4408,2,8192,4333,,,,,,,,,,,,,,,,,,,,,,,
16420,10033,2,8192,10034,,,,,,,,,,,,,,,,,,,,,,,
12167,10034,1,2048,4349,,,,,,,,,,,,,,,,,,,,,,,
15575,4349,2,524288,4419,,,,,,,,,,,,,,,,,,,,,,,
15926,4419,2,524288,10023,,,,,,,,,,,,,,,,,,,,,,,
15133,4364,1,131072,4410,4409,,,,,,,,,,,,,,,,,,,,,,
16443,4409,2,8192,10035,,,,,,,,,,,,,,,,,,,,,,,
11782,4410,2,8192,4334,,,,,,,,,,,,,,,,,,,,,,,
16500,10035,2,8192,10036,,,,,,,,,,,,,,,,,,,,,,,
12239,10036,1,2048,4350,,,,,,,,,,,,,,,,,,,,,,,
15621,4350,2,524288,4420,,,,,,,,,,,,,,,,,,,,,,,
15903,4420,2,524288,10023,,,,,,,,,,,,,,,,,,,,,,,
15219,4366,1,131072,4412,4411,,,,,,,,,,,,,,,,,,,,,,
16523,4411,2,8192,10037,,,,,,,,,,,,,,,,,,,,,,,
11809,4412,2,8192,4335,,,,,,,,,,,,,,,,,,,,,,,
16580,10037,2,8192,10038,,,,,,,,,,,,,,,,,,,,,,,
12311,10038,1,2048,4351,,,,,,,,,,,,,,,,,,,,,,,
15667,4351,2,524288,4421,,,,,,,,,,,,,,,,,,,,,,,
15997,4421,2,524288,10024,,,,,,,,,,,,,,,,,,,,,,,
15305,4368,1,131072,4414,4413,,,,,,,,,,,,,,,,,,,,,,
16603,4413,2,8192,10039,,,,,,,,,,,,,,,,,,,,,,,
11836,4414,2,8192,4336,,,,,,,,,,,,,,,,,,,,,,,
16660,10039,2,8192,10040,,,,,,,,,,,,,,,,,,,,,,,
12383,10040,1,2048,4352,,,,,,,,,,,,,,,,,,,,,,,
15713,4352,2,524288,4422,,,,,,,,,,,,,,,,,,,,,,,
16020,4422,2,524288,10024,,,,,,,,,,,,,,,,,,,,,,,
15950,10024,2,524288,10023,,,,,,,,,,,,,,,,,,,,,,,
15879,10023,2,524288,10022,,,,,,,,,,,,,,,,,,,,,,,
11466,4380,2,4096,4310,,,,,,,,,,,,,,,,,,,,,,,
11441,4397,2,4096,4310,,,,,,,,,,,,,,,,,,,,,,,
12831,4310,2,4096,4380,4379,4378,,,,,,,,,,,,,,,,,,,,,
11548,4378,2,512,4312,,,,,,,,,,,,,,,,,,,,,,,
11491,4379,1,128,4311,,,,,,,,,,,,,,,,,,,,,,,
17409,4312,2,512,10089,10087,10085,10083,10081,10079,10077,10075,10073,,,,,,,,,,,,,,,
11141,10073,2,256,3762,,,,,,,,,,,,,,,,,,,,,,,
16684,10075,2,524288,10043,,,,,,,,,,,,,,,,,,,,,,,
16757,10077,2,524288,10047,,,,,,,,,,,,,,,,,,,,,,,
16830,10079,2,524288,10051,,,,,,,,,,,,,,,,,,,,,,,
16903,10081,2,524288,10055,,,,,,,,,,,,,,,,,,,,,,,
16976,10083,2,524288,10059,,,,,,,,,,,,,,,,,,,,,,,
17049,10085,2,524288,10063,,,,,,,,,,,,,,,,,,,,,,,
17122,10087,2,524288,10067,,,,,,,,,,,,,,,,,,,,,,,
17195,10089,2,524288,10071,,,,,,,,,,,,,,,,,,,,,,,
11224,3762,1,256,3859,,,,,,,,,,,,,,,,,,,,,,,
16733,10043,2,524288,10044,,,,,,,,,,,,,,,,,,,,,,,
16806,10047,2,524288,10048,,,,,,,,,,,,,,,,,,,,,,,
16879,10051,2,524288,10052,,,,,,,,,,,,,,,,,,,,,,,
16952,10055,2,524288,10056,,,,,,,,,,,,,,,,,,,,,,,
17025,10059,2,524288,10060,,,,,,,,,,,,,,,,,,,,,,,
17098,10063,2,524288,10064,,,,,,,,,,,,,,,,,,,,,,,
17171,10067,2,524288,10068,,,,,,,,,,,,,,,,,,,,,,,
17244,10071,2,524288,10072,,,,,,,,,,,,,,,,,,,,,,,
12455,10044,1,131072,4354,,,,,,,,,,,,,,,,,,,,,,,
