App,cycle,pcuUtil,mcuUtil,scuUtil,ocuUtil,mcUtil,ocuUtil,mcUtil,slinkUtil,vlinkUtil,clinkUtil,totalRegUtil,totalFUUtil,totalSBufUtil,totalVBufUtil
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_1_loop_k_1,71521420,0.281,0.125,0.088,0.072,0.088,0.072,0.088,0.051,0.0,0.0,0.017,0.089,0.282,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_2_loop_k_1,38484739,0.391,0.219,0.118,0.092,0.118,0.092,0.118,0.082,0.0,0.0,0.015,0.078,0.275,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_2_loop_k_2,28935759,0.422,0.281,0.118,0.092,0.118,0.092,0.118,0.078,0.0,0.0,0.016,0.085,0.281,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_1,36502225,0.469,0.219,0.147,0.111,0.147,0.111,0.147,0.107,0.0,0.0,0.015,0.084,0.281,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_2,26960180,0.5,0.281,0.147,0.111,0.147,0.111,0.147,0.121,0.0,0.0,0.016,0.09,0.286,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_2_loop_k_1,19968305,0.688,0.406,0.206,0.15,0.206,0.15,0.206,0.159,0.0,0.0,0.014,0.073,0.274,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_2_loop_k_2,15225514,0.75,0.531,0.206,0.15,0.206,0.15,0.206,0.197,0.0,0.0,0.015,0.082,0.281,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_2_loop_kk_1_loop_i_1_loop_k_2,26373270,0.594,0.313,0.176,0.15,0.176,0.15,0.176,0.151,0.0,0.0,0.017,0.094,0.285,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_2_loop_kk_1_loop_i_2_loop_k_2,14668242,0.844,0.563,0.235,0.19,0.235,0.19,0.235,0.234,0.0,0.0,0.016,0.085,0.281,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_1_loop_ii_2_loop_kk_2_loop_i_1_loop_k_2,13866271,1.0,0.563,0.294,0.229,0.294,0.229,0.294,0.274,0.0,0.0,0.016,0.09,0.285,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_2_loop_ii_1_loop_kk_1_loop_i_1_loop_k_1,35922717,0.563,0.25,0.176,0.137,0.176,0.137,0.176,0.136,0.0,0.0,0.017,0.089,0.283,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_2_loop_ii_1_loop_kk_1_loop_i_2_loop_k_2,14594499,0.844,0.563,0.235,0.176,0.235,0.176,0.235,0.247,0.0,0.0,0.016,0.085,0.282,0.0
GEMM_Blocked__tileSize_16_i_tileSize_16_loop_jj_2_loop_ii_1_loop_kk_2_loop_i_1_loop_k_1,18283225,0.938,0.438,0.294,0.216,0.294,0.216,0.294,0.25,0.0,0.0,0.015,0.084,0.281,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_1_loop_k_1,68229998,0.281,0.125,0.088,0.072,0.088,0.072,0.088,0.052,0.0,0.0,0.017,0.089,0.282,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_2_loop_k_1,34846139,0.391,0.219,0.118,0.092,0.118,0.092,0.118,0.09,0.0,0.0,0.015,0.078,0.275,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_2,24598886,0.5,0.281,0.147,0.111,0.147,0.111,0.147,0.115,0.0,0.0,0.016,0.09,0.286,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_2_loop_k_1,17541238,0.688,0.406,0.206,0.15,0.206,0.15,0.206,0.151,0.0,0.0,0.014,0.073,0.274,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_2_loop_k_2,12713018,0.75,0.531,0.206,0.15,0.206,0.15,0.206,0.189,0.0,0.0,0.015,0.082,0.281,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_2_loop_kk_1_loop_i_1_loop_k_2,25823937,0.594,0.313,0.176,0.15,0.176,0.15,0.176,0.151,0.0,0.0,0.017,0.094,0.285,0.0
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_1_loop_ii_2_loop_kk_1_loop_i_2_loop_k_1,17506145,0.781,0.438,0.235,0.19,0.235,0.19,0.235,0.195,0.0,0.0,0.015,0.078,0.275,0.0
